word_0	definition_0
word_1	definition_1
word_2	definition_2
word_3	definition_3
word_4	definition_4
word_5	definition_5
word_6	definition_6
word_7  definition_7
word_8	definition_8
word_9	definition_9
word_10	definition_10
word_11	definition_11
word_12	definition_12
word_13	definition_13
word_14 definition_14
word_15	definition_15
word_16	definition_16
word_17	definition_17
word_18	definition_18
word_19	definition_19
word_20	definition_20
word_21	definition_21
word_22	definition_22
word_23	definition_23
word_24	definition_24
word_25	definition_25
word_26	definition_26
word_27	definition_27
word_28	definition_28
word_29	definition_29
word_30	definition_30
word_31	definition_31
word_32	definition_32
word_33	definition_33
word_34	definition_34
word_35	definition_35
word_36	definition_36
word_37	definition_37
word_38	definition_38
word_39	definition_39
word_40	definition_40
word_41	definition_41
word_42	definition_42
word_43	definition_43
word_44	definition_44
word_45	definition_45
word_46	definition_46
word_47	definition_47
word_48	definition_48
word_49	definition_49
word_50	definition_50
word_51	definition_51
word_52	definition_52
word_53	definition_53
word_54	definition_54
word_55	definition_55
word_56	definition_56
word_57	definition_57
word_58	definition_58
word_59	definition_59
word_60	definition_60
word_61	definition_61
word_62	definition_62
word_63	definition_63
word_64	definition_64
word_65	definition_65
word_66	definition_66
word_67	definition_67
word_68	definition_68
word_69	definition_69
word_70	definition_70
word_71	definition_71
word_72	definition_72
word_73	definition_73
word_74	definition_74
word_75	definition_75
word_76	definition_76
word_77	definition_77
word_78	definition_78
word_79	definition_79
word_80	definition_80
word_81	definition_81
word_82	definition_82
word_83	definition_83
word_84	definition_84
word_85	definition_85
word_86	definition_86
word_87	definition_87
word_88	definition_88
word_89	definition_89
word_90	definition_90
word_91	definition_91
word_92	definition_92
word_93	definition_93
word_94	definition_94
word_95	definition_95
word_96	definition_96
word_97	definition_97
word_98	definition_98
word_99 definition_99
word_100    definition_100
word_101	definition_101
word_102	definition_102
word_103	definition_103
word_104	definition_104
word_105	definition_105
word_106    definition_106
word_107	definition_107
word_108	definition_108
word_109	definition_109
word_110	definition_110
word_111	definition_111
word_112	definition_112
word_113	definition_113
word_114	definition_114
word_115	definition_115
word_116	definition_116
word_117	definition_117
word_118	definition_118
word_119	definition_119
word_120	definition_120
word_121	definition_121
word_122	definition_122
word_123	definition_123
word_124	definition_124
word_125	definition_125
word_126	definition_126
word_127	definition_127
word_128	definition_128
word_129	definition_129
word_130	definition_130
word_131	definition_131
word_132	definition_132
word_133	definition_133
word_134	definition_134
word_135	definition_135
word_136	definition_136
word_137	definition_137
word_138	definition_138
word_139	definition_139
word_140	definition_140
word_141	definition_141
word_142	definition_142
word_143	definition_143
word_144	definition_144
word_145	definition_145
word_146	definition_146
word_147	definition_147
word_148	definition_148
word_149	definition_149
word_150	definition_150
word_151	definition_151
word_152	definition_152
word_153	definition_153
word_154	definition_154
word_155	definition_155
word_156	definition_156
word_157	definition_157
word_158	definition_158
word_159	definition_159
word_160	definition_160
word_161	definition_161
word_162	definition_162
word_163	definition_163
word_164	definition_164
word_165	definition_165
word_166	definition_166
word_167	definition_167
word_168	definition_168
word_169	definition_169
word_170	definition_170
word_171	definition_171
word_172	definition_172
word_173	definition_173
word_174	definition_174
word_175	definition_175
word_176	definition_176
word_177	definition_177
word_178	definition_178
word_179	definition_179
word_180	definition_180
word_181	definition_181
word_182	definition_182
word_183	definition_183
word_184	definition_184
word_185	definition_185
word_186	definition_186
word_187	definition_187
word_188	definition_188
word_189	definition_189
word_190	definition_190
word_191	definition_191
word_192	definition_192
word_193	definition_193
word_194	definition_194
word_195	definition_195
word_196	definition_196
word_197	definition_197
word_198	definition_198
word_199	definition_199
word_200	definition_200
word_201	definition_201
word_202	definition_202
word_203	definition_203
word_204	definition_204
word_205	definition_205
word_206	definition_206
word_207	definition_207
word_208	definition_208
word_209	definition_209
word_210	definition_210
word_211	definition_211
word_212	definition_212
word_213	definition_213
word_214	definition_214
word_215	definition_215
word_216	definition_216
word_217	definition_217
word_218	definition_218
word_219	definition_219
word_220	definition_220
word_221	definition_221
word_222	definition_222
word_223	definition_223
word_224	definition_224
word_225	definition_225
word_226	definition_226
word_227	definition_227
word_228	definition_228
word_229	definition_229
word_230	definition_230
word_231	definition_231
word_232	definition_232
word_233	definition_233
word_234	definition_234
word_235	definition_235
word_236	definition_236
word_237	definition_237
word_238	definition_238
word_239	definition_239
word_240	definition_240
word_241	definition_241
word_242	definition_242
word_243	definition_243
word_244	definition_244
word_245	definition_245
word_246	definition_246
word_247	definition_247
word_248	definition_248
word_249	definition_249
word_250	definition_250
word_251	definition_251
word_252	definition_252
word_253	definition_253
word_254	definition_254
word_255	definition_255
word_256	definition_256
word_257	definition_257
word_258	definition_258
word_259	definition_259
word_260	definition_260
word_261	definition_261
word_262	definition_262
word_263	definition_263
word_264	definition_264
word_265	definition_265
word_266	definition_266
word_267	definition_267
word_268	definition_268
word_269	definition_269
word_270	definition_270
word_271	definition_271
word_272	definition_272
word_273	definition_273
word_274	definition_274
word_275	definition_275
word_276	definition_276
word_277	definition_277
word_278	definition_278
word_279	definition_279
word_280	definition_280
word_281	definition_281
word_282	definition_282
word_283	definition_283
word_284	definition_284
word_285	definition_285
word_286	definition_286
word_287	definition_287
word_288	definition_288
word_289	definition_289
word_290	definition_290
word_291	definition_291
word_292	definition_292
word_293	definition_293
word_294	definition_294
word_295	definition_295
word_296	definition_296
word_297	definition_297
word_298	definition_298
word_299	definition_299
word_300	definition_300
word_301	definition_301
word_302	definition_302
word_303	definition_303
word_304	definition_304
word_305	definition_305
word_306	definition_306
word_307	definition_307
word_308	definition_308
word_309	definition_309
word_310	definition_310
word_311	definition_311
word_312	definition_312
word_313	definition_313
word_314	definition_314
word_315	definition_315
word_316	definition_316
word_317	definition_317
word_318	definition_318
word_319	definition_319
word_320	definition_320
word_321	definition_321
word_322	definition_322
word_323	definition_323
word_324	definition_324
word_325	definition_325
word_326	definition_326
word_327	definition_327
word_328	definition_328
word_329	definition_329
word_330	definition_330
word_331	definition_331
word_332	definition_332
word_333	definition_333
word_334	definition_334
word_335	definition_335
word_336	definition_336
word_337	definition_337
word_338	definition_338
word_339	definition_339
word_340	definition_340
word_341	definition_341
word_342	definition_342
word_343	definition_343
word_344	definition_344
word_345	definition_345
word_346	definition_346
word_347	definition_347
word_348	definition_348
word_349	definition_349
word_350	definition_350
word_351	definition_351
word_352	definition_352
word_353	definition_353
word_354	definition_354
word_355	definition_355
word_356	definition_356
word_357	definition_357
word_358	definition_358
word_359	definition_359
word_360	definition_360
word_361	definition_361
word_362	definition_362
word_363	definition_363
word_364	definition_364
word_365	definition_365
word_366	definition_366
word_367	definition_367
word_368	definition_368
word_369	definition_369
word_370	definition_370
word_371	definition_371
word_372	definition_372
word_373	definition_373
word_374	definition_374
word_375	definition_375
word_376	definition_376
word_377	definition_377
word_378	definition_378
word_379	definition_379
word_380	definition_380
word_381	definition_381
